               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
45,0.055716,0.025344,0.014148,0.4317,0.42614,0.38669,0.13738,0.049974,0.015963,0.012733,0.008548,0.008548,0.008548
46,0.055556,0.025417,0.014177,0.43509,0.44215,0.39567,0.14032,0.049733,0.015911,0.012441,0.008515,0.008515,0.008515
47,0.055285,0.02537,0.014044,0.45416,0.42356,0.3959,0.14291,0.048764,0.01593,0.012394,0.008482,0.008482,0.008482
48,0.055243,0.025442,0.013967,0.42358,0.45366,0.40104,0.14331,0.048738,0.015866,0.012408,0.008449,0.008449,0.008449
49,0.055307,0.025446,0.01394,0.41751,0.4528,0.3995,0.14488,0.048563,0.015828,0.012324,0.008416,0.008416,0.008416
50,0.055019,0.025483,0.013498,0.46761,0.42828,0.40249,0.14435,0.047824,0.015873,0.012392,0.008383,0.008383,0.008383
51,0.054849,0.024875,0.013803,0.46092,0.42376,0.40033,0.14656,0.047189,0.015876,0.011901,0.00835,0.00835,0.00835
52,0.054752,0.025198,0.013605,0.43064,0.46196,0.41042,0.14821,0.046937,0.015901,0.012179,0.008317,0.008317,0.008317
53,0.054755,0.024974,0.013569,0.45699,0.44883,0.40974,0.14715,0.045973,0.015788,0.012191,0.008284,0.008284,0.008284
54,0.054414,0.025171,0.013503,0.44163,0.46379,0.41632,0.14866,0.045782,0.01578,0.011716,0.008251,0.008251,0.008251
55,0.054578,0.025406,0.013197,0.49168,0.42864,0.41924,0.15111,0.045647,0.015786,0.012107,0.008218,0.008218,0.008218
56,0.054472,0.025062,0.0134,0.43713,0.4818,0.42155,0.15157,0.045584,0.015687,0.012042,0.008185,0.008185,0.008185
57,0.054285,0.025104,0.013097,0.44636,0.46605,0.42279,0.15381,0.045468,0.015659,0.011928,0.008152,0.008152,0.008152
58,0.054177,0.025154,0.013051,0.48649,0.42504,0.42117,0.15265,0.045361,0.015696,0.011733,0.008119,0.008119,0.008119
59,0.054195,0.02522,0.013013,0.45879,0.48155,0.42908,0.15629,0.04539,0.015673,0.0117,0.008086,0.008086,0.008086
60,0.054154,0.025101,0.013078,0.46158,0.47691,0.43138,0.15672,0.046155,0.015638,0.01183,0.008053,0.008053,0.008053
61,0.053864,0.025209,0.012736,0.52172,0.43391,0.43482,0.15765,0.045209,0.01573,0.011891,0.00802,0.00802,0.00802
62,0.053604,0.025261,0.012806,0.47319,0.47089,0.43212,0.15974,0.043025,0.015661,0.011833,0.007987,0.007987,0.007987
63,0.05372,0.024872,0.012724,0.5154,0.43564,0.43754,0.16002,0.043876,0.015649,0.011702,0.007954,0.007954,0.007954
64,0.05372,0.025018,0.012877,0.51497,0.43932,0.44538,0.16302,0.046665,0.015632,0.011614,0.007921,0.007921,0.007921
65,0.053369,0.025055,0.012617,0.47306,0.47456,0.44475,0.16189,0.046694,0.015639,0.011801,0.007888,0.007888,0.007888
66,0.053578,0.024643,0.012357,0.45993,0.47546,0.44286,0.16034,0.04673,0.015613,0.011699,0.007855,0.007855,0.007855
67,0.053241,0.025229,0.01251,0.45666,0.4865,0.44206,0.16152,0.047703,0.015611,0.011664,0.007822,0.007822,0.007822
68,0.053343,0.024597,0.012409,0.49076,0.44976,0.43836,0.16237,0.047567,0.015641,0.011483,0.007789,0.007789,0.007789
69,0.053162,0.024485,0.01243,0.4832,0.44989,0.44118,0.16356,0.046602,0.015633,0.011631,0.007756,0.007756,0.007756
70,0.052939,0.024739,0.012123,0.45581,0.47577,0.43891,0.16434,0.047375,0.015643,0.011648,0.007723,0.007723,0.007723
71,0.05305,0.024548,0.012041,0.49554,0.44684,0.44053,0.16565,0.046395,0.015639,0.011516,0.00769,0.00769,0.00769
72,0.052882,0.024867,0.011825,0.47379,0.47762,0.44324,0.16599,0.046411,0.015639,0.0115,0.007657,0.007657,0.007657
73,0.053031,0.024635,0.012169,0.48537,0.47085,0.44551,0.16455,0.046407,0.015627,0.011542,0.007624,0.007624,0.007624
74,0.052794,0.024829,0.012037,0.48586,0.46507,0.44349,0.1659,0.04633,0.015603,0.011498,0.007591,0.007591,0.007591
75,0.052629,0.024363,0.01201,0.50759,0.45026,0.44469,0.16606,0.048296,0.015561,0.01149,0.007558,0.007558,0.007558
76,0.052454,0.024662,0.011895,0.49674,0.46271,0.44739,0.16674,0.047246,0.015563,0.011381,0.007525,0.007525,0.007525
77,0.052454,0.024967,0.011781,0.47151,0.48601,0.44933,0.16769,0.04802,0.015539,0.011413,0.007492,0.007492,0.007492
78,0.052335,0.024344,0.011666,0.48606,0.467,0.44679,0.16914,0.046223,0.015553,0.01143,0.007459,0.007459,0.007459
79,0.052423,0.024349,0.01194,0.50441,0.45204,0.4483,0.1692,0.046167,0.015557,0.01144,0.007426,0.007426,0.007426
80,0.052288,0.024532,0.011619,0.50284,0.45692,0.4517,0.16888,0.048163,0.015552,0.011452,0.007393,0.007393,0.007393
81,0.052399,0.024725,0.011647,0.46355,0.49095,0.45153,0.17065,0.047071,0.015551,0.011428,0.00736,0.00736,0.00736
82,0.052014,0.024761,0.011769,0.50377,0.46003,0.45336,0.17082,0.046015,0.01555,0.011406,0.007327,0.007327,0.007327
83,0.052122,0.024818,0.011457,0.48357,0.47705,0.45365,0.17081,0.045003,0.015536,0.011455,0.007294,0.007294,0.007294
84,0.05203,0.024419,0.011401,0.46361,0.49716,0.45396,0.17104,0.046006,0.01551,0.011475,0.007261,0.007261,0.007261
85,0.05198,0.024518,0.01117,0.46771,0.49632,0.45509,0.17121,0.044039,0.015507,0.011507,0.007228,0.007228,0.007228
86,0.052024,0.024592,0.01132,0.51573,0.46337,0.4573,0.17265,0.046981,0.015505,0.011555,0.007195,0.007195,0.007195
87,0.051912,0.024331,0.011161,0.47467,0.49448,0.45625,0.17239,0.046967,0.01551,0.011563,0.007162,0.007162,0.007162
88,0.051505,0.024572,0.011155,0.48594,0.49337,0.45823,0.17244,0.045955,0.015502,0.011583,0.007129,0.007129,0.007129
89,0.051551,0.024555,0.010961,0.49618,0.48373,0.46048,0.17275,0.04694,0.01551,0.011583,0.007096,0.007096,0.007096
90,0.051592,0.024213,0.011167,0.48613,0.49757,0.46205,0.17383,0.045862,0.015502,0.011545,0.007063,0.007063,0.007063
91,0.051046,0.024534,0.010765,0.51852,0.46959,0.46232,0.17398,0.046839,0.015504,0.011546,0.00703,0.00703,0.00703
92,0.051064,0.024143,0.010727,0.48293,0.50063,0.46383,0.17425,0.047784,0.015499,0.011516,0.006997,0.006997,0.006997
93,0.051251,0.024361,0.010937,0.5358,0.4562,0.46146,0.17455,0.045766,0.0155,0.011514,0.006964,0.006964,0.006964
94,0.051169,0.024478,0.010721,0.54273,0.45288,0.46151,0.1751,0.046724,0.015494,0.011529,0.006931,0.006931,0.006931
95,0.05113,0.024261,0.010702,0.53527,0.45728,0.46231,0.17539,0.045682,0.015498,0.011534,0.006898,0.006898,0.006898
96,0.051125,0.024257,0.010795,0.52248,0.46451,0.46083,0.17449,0.044658,0.0155,0.011563,0.006865,0.006865,0.006865
97,0.050961,0.024268,0.010704,0.53683,0.45825,0.46128,0.17387,0.045638,0.015493,0.01157,0.006832,0.006832,0.006832
98,0.051148,0.024053,0.010718,0.53267,0.45769,0.45977,0.17439,0.045604,0.015494,0.011579,0.006799,0.006799,0.006799
99,0.051058,0.024326,0.010701,0.51754,0.46798,0.46088,0.17527,0.045592,0.015487,0.011606,0.006766,0.006766,0.006766
100,0.051015,0.024081,0.010458,0.51999,0.4674,0.46121,0.1755,0.045571,0.015481,0.011623,0.006733,0.006733,0.006733
101,0.050696,0.024023,0.010224,0.52694,0.46209,0.46163,0.17585,0.04556,0.015474,0.011656,0.0067,0.0067,0.0067
102,0.050631,0.023964,0.010531,0.50733,0.4829,0.46221,0.17564,0.044556,0.01547,0.011678,0.006667,0.006667,0.006667
103,0.050496,0.024074,0.010324,0.49607,0.48782,0.46333,0.17555,0.045542,0.015468,0.011678,0.006634,0.006634,0.006634
104,0.050485,0.02408,0.010473,0.50042,0.48467,0.46456,0.17577,0.045547,0.015465,0.011673,0.006601,0.006601,0.006601
105,0.050385,0.023891,0.010393,0.4959,0.48896,0.46496,0.17532,0.04555,0.015456,0.011685,0.006568,0.006568,0.006568
106,0.05067,0.024005,0.010288,0.4896,0.4943,0.46576,0.17554,0.044541,0.015454,0.011694,0.006535,0.006535,0.006535
107,0.050292,0.024247,0.0099619,0.49411,0.49221,0.46698,0.17541,0.04553,0.015446,0.011707,0.006502,0.006502,0.006502
108,0.050178,0.024,0.010205,0.49747,0.48919,0.46733,0.1752,0.045517,0.015445,0.011705,0.006469,0.006469,0.006469
109,0.050092,0.02371,0.0098573,0.4983,0.48864,0.46796,0.17591,0.045506,0.015441,0.01172,0.006436,0.006436,0.006436
110,0.050128,0.024107,0.010094,0.4963,0.4918,0.46836,0.17578,0.044995,0.015441,0.011725,0.006403,0.006403,0.006403
111,0.050048,0.024127,0.010136,0.48218,0.50274,0.46811,0.17641,0.044983,0.015439,0.011727,0.00637,0.00637,0.00637
112,0.050084,0.024214,0.0098335,0.48814,0.49793,0.4689,0.17676,0.044978,0.015436,0.011738,0.006337,0.006337,0.006337
113,0.049904,0.024039,0.0098415,0.48687,0.49794,0.46875,0.17646,0.044946,0.015435,0.011747,0.006304,0.006304,0.006304
114,0.049912,0.023868,0.0098223,0.48718,0.49911,0.46814,0.17682,0.044951,0.015434,0.011751,0.006271,0.006271,0.006271
115,0.049743,0.023781,0.0097628,0.48701,0.49862,0.46692,0.17728,0.044938,0.015434,0.011762,0.006238,0.006238,0.006238
116,0.049843,0.024259,0.0097993,0.48885,0.49627,0.46684,0.17742,0.044431,0.015433,0.01176,0.006205,0.006205,0.006205
117,0.049712,0.024228,0.0093847,0.4843,0.49949,0.46563,0.17744,0.044424,0.015433,0.011761,0.006172,0.006172,0.006172
118,0.049716,0.023807,0.0095805,0.51301,0.47529,0.46633,0.17742,0.043423,0.01543,0.011757,0.006139,0.006139,0.006139
119,0.049461,0.023693,0.0095571,0.48353,0.50645,0.46689,0.17773,0.043423,0.015428,0.011759,0.006106,0.006106,0.006106
120,0.049531,0.023692,0.0093999,0.48288,0.50653,0.46815,0.17801,0.0434232,0.015425,0.011759,0.006073,0.006073,0.006073
121,0.049256,0.023833,0.0096819,0.48646,0.50399,0.46942,0.17753,0.0434233,0.015419,0.01176,0.00604,0.00604,0.00604
122,0.049452,0.023817,0.0092181,0.51412,0.48319,0.46957,0.17794,0.043423,0.015415,0.01175,0.006007,0.006007,0.006007
123,0.049459,0.02383,0.0092267,0.49574,0.49949,0.47029,0.17778,0.043422,0.015411,0.011739,0.005974,0.005974,0.005974
124,0.049492,0.023867,0.0094056,0.50293,0.49377,0.46902,0.17862,0.043421,0.015409,0.011735,0.005941,0.005941,0.005941
125,0.049154,0.023733,0.0092411,0.49767,0.49956,0.47037,0.17873,0.043421,0.015407,0.011732,0.005908,0.005908,0.005908
126,0.049072,0.023747,0.0092149,0.51728,0.48751,0.47042,0.17922,0.04342,0.015406,0.011739,0.005875,0.005875,0.005875
127,0.048802,0.023699,0.0090287,0.51754,0.48705,0.47005,0.17933,0.04342,0.015405,0.011746,0.005842,0.005842,0.005842
128,0.048929,0.023832,0.0092181,0.51835,0.48501,0.47011,0.1792,0.043419,0.015405,0.011753,0.005809,0.005809,0.005809
129,0.04895,0.023772,0.0092245,0.51862,0.48435,0.46952,0.17941,0.043419,0.015401,0.011757,0.005776,0.005776,0.005776
130,0.048897,0.023764,0.008881,0.52227,0.48276,0.46945,0.17921,0.043418,0.015399,0.011756,0.005743,0.005743,0.005743
